date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2024-03-02 00:00:00+00:00,13.631833,5.2318335,8.776973,0.3,0.3,0.0,2.3333333,14.251766,9.363334,1.3805612,79.899025,5.2457223,1005.2791,995.47076
2024-03-03 00:00:00+00:00,13.0485,4.5151668,8.185306,0.0,0.0,0.0,0.0,17.845535,9.603333,1.2732378,84.00558,5.4644723,1004.0542,994.2398
2024-03-04 00:00:00+00:00,13.3485,2.2985,7.5769715,0.5,0.5,0.0,3.0,9.635032,8.599999,1.0924644,89.12628,5.7936387,1009.1333,999.2449
2024-03-05 00:00:00+00:00,7.8485007,4.2985,6.130444,4.633333,4.633333,0.0,12.666667,15.419304,2.9633334,0.64044625,84.64649,3.5665557,1015.33185,1005.33514
2024-03-06 00:00:00+00:00,9.0985,1.1818334,4.812389,0.0,0.0,0.0,0.0,11.01173,10.543334,1.3436831,73.58817,0.34780553,1023.47363,1013.3496
2024-03-07 00:00:00+00:00,7.5985,2.0318334,4.684611,0.0,0.0,0.0,0.0,16.988462,7.9833336,1.1549729,73.665855,0.18669443,1026.0403,1015.8868
2024-03-08 00:00:00+00:00,8.015167,-1.9015001,3.0387776,0.0,0.0,0.0,0.0,19.943321,13.306666,1.6247126,71.991196,-1.7508055,1019.19995,1009.0522
2024-03-09 00:00:00+00:00,8.8485,0.6985,4.5609994,0.0,0.0,0.0,0.0,23.280699,10.07,1.3381224,76.80193,0.65197223,1008.2028,998.2207
2024-03-10 00:00:00+00:00,11.865167,1.8318334,6.70475,0.0,0.0,0.0,0.0,24.49939,11.68,1.6133199,79.91828,3.262389,1001.7653,991.92236
2024-03-11 00:00:00+00:00,12.615167,6.1485,8.605445,0.033333335,0.033333335,0.0,0.33333334,17.464619,9.02,1.4281635,78.72871,4.9033613,1002.58746,992.80023
2024-03-12 00:00:00+00:00,10.481833,3.7651665,6.8547497,0.73333335,0.73333335,0.0,4.3333335,15.282517,7.763333,1.0719513,83.689514,4.2103057,1013.10693,1003.1569
2024-03-13 00:00:00+00:00,11.965167,2.2485,7.2325273,0.7666667,0.7666667,0.0,5.0,15.977539,8.216666,1.158639,86.25394,4.9616947,1015.75977,1005.7944
2024-03-14 00:00:00+00:00,15.815166,8.4985,11.256833,0.13333334,0.13333334,0.0,1.0,13.644771,11.209999,1.7283478,80.2808,7.732528,1013.69727,1003.8925
2024-03-15 00:00:00+00:00,15.515167,8.315166,11.889473,1.0,1.0,0.0,4.3333335,22.053368,9.5633335,1.698815,77.94694,8.065862,1008.7375,999.0039
2024-03-16 00:00:00+00:00,10.431833,4.7651668,8.865167,1.8000001,1.8000001,0.0,4.0,24.32276,7.396667,1.3869076,76.22991,4.684611,1014.67084,1004.7752
2024-03-17 00:00:00+00:00,10.215167,1.6651667,5.5769715,0.0,0.0,0.0,0.0,12.877968,10.426666,1.4682876,73.70984,0.9325278,1023.7847,1013.68677
2024-03-18 00:00:00+00:00,10.181833,1.4984999,5.7908607,0.0,0.0,0.0,0.0,17.02869,11.3,1.8269495,66.505745,-0.15427779,1019.37085,1009.32074
2024-03-19 00:00:00+00:00,13.265166,2.2818334,7.5158615,0.16666667,0.16666667,0.0,1.3333334,14.790603,11.63,1.9389615,66.455826,1.6165557,1020.27496,1010.27655
2024-03-20 00:00:00+00:00,16.848501,4.9318337,10.940861,0.06666667,0.06666667,0.0,0.33333334,12.175422,10.976666,1.8265678,73.76988,6.1255836,1019.50977,1009.6379
2024-03-21 00:00:00+00:00,11.465167,6.865167,9.461,6.633333,6.633333,0.0,12.333333,22.97901,5.713333,0.9473593,84.70211,6.945722,1020.34863,1010.4197
2024-03-22 00:00:00+00:00,14.448501,6.7485003,10.126278,3.9666665,3.9666665,0.0,7.6666665,25.310553,5.15,1.2062701,81.307816,6.965861,1015.8222,1005.9604
2024-03-23 00:00:00+00:00,8.781834,3.2485,6.4735,7.6333327,7.6,0.023333333,18.666666,23.663748,9.150001,1.2660526,81.0649,3.31725,1006.89307,996.9897
2024-03-24 00:00:00+00:00,7.665167,2.6151667,4.565167,5.1333327,4.3666663,0.5366667,14.0,27.106796,6.41,1.0165911,82.04679,1.72975,1000.7278,990.81714
2024-03-25 00:00:00+00:00,9.131833,2.2985,5.7075286,2.8,2.5000002,0.21,12.333333,24.671381,10.110001,1.340098,77.53397,1.7561389,1004.657,994.7483
2024-03-26 00:00:00+00:00,11.665166,1.4984999,6.3498893,0.0,0.0,0.0,0.0,17.723421,12.68,1.9128451,70.28382,1.1429445,998.2277,988.4045
2024-03-27 00:00:00+00:00,17.765167,2.7318332,9.810306,0.0,0.0,0.0,0.0,16.543497,15.91,2.4341652,73.30302,4.86725,987.5931,977.9941
2024-03-28 00:00:00+00:00,13.181834,5.6318336,8.499888,7.3333335,7.3333335,0.0,11.333333,29.644064,10.7,1.7177396,78.41692,4.7339168,988.2166,978.56696
2024-03-29 00:00:00+00:00,14.0985,6.2818336,9.717945,1.2666668,1.2666668,0.0,5.3333335,24.965744,8.816667,1.8633037,70.64619,4.5665555,997.39435,987.6982
2024-03-30 00:00:00+00:00,20.6985,7.731833,13.435306,0.033333335,0.033333335,0.0,0.33333334,12.457046,15.176666,2.510443,78.126854,9.327666,998.67084,989.08563
2024-03-31 00:00:00+00:00,15.8984995,6.981833,11.213084,3.7666667,3.7666667,0.0,7.6666665,10.401062,11.91,1.7917284,82.73355,8.214473,999.43335,989.7674
2024-04-01 00:00:00+00:00,12.981833,8.131833,10.019333,15.266666,15.266666,0.0,14.666667,22.777803,4.3266664,0.7629462,91.9997,8.766556,995.34576,985.68085
2024-04-02 00:00:00+00:00,13.081833,7.3318334,9.821416,2.1333334,2.1333334,0.0,8.666667,31.292536,14.360001,2.1374035,76.92324,5.740167,1003.782,994.0253
2024-04-03 00:00:00+00:00,11.7485,7.4485,9.663777,4.7666664,4.7666664,0.0,14.666667,19.507803,4.6066666,0.8712678,87.836426,7.72975,1006.52496,996.7383
2024-04-04 00:00:00+00:00,14.465167,8.131833,11.020721,6.133333,6.133333,0.0,9.666667,25.44139,6.7933335,1.346283,81.91291,7.979056,1006.59863,996.85736
2024-04-05 00:00:00+00:00,18.598501,9.831833,13.692248,1.8000001,1.8000001,0.0,2.6666667,26.526865,11.056666,2.3379476,75.41355,9.309611,1010.5389,1000.84985
2024-04-06 00:00:00+00:00,23.931833,11.415166,17.24225,0.0,0.0,0.0,0.0,15.739226,17.699999,3.495533,70.107574,11.258916,1013.19855,1003.60175
2024-04-07 00:00:00+00:00,22.4485,15.381833,18.639471,0.23333335,0.23333335,0.0,0.6666667,22.636179,17.386667,4.2337937,54.529156,8.978361,1013.4986,1003.94745
2024-04-08 00:00:00+00:00,23.181833,11.781834,16.71586,0.5,0.5,0.0,2.0,14.139445,17.82,3.0737545,77.47527,12.456833,1010.2903,1000.7054
2024-04-09 00:00:00+00:00,18.981833,11.481833,14.739471,1.3333334,1.3333334,0.0,4.3333335,27.798609,10.66,2.3997073,71.70162,9.540167,1008.9375,999.2991
2024-04-10 00:00:00+00:00,13.5985,8.181834,10.780444,0.16666667,0.16666667,0.0,1.6666666,20.871412,12.813333,2.4926283,64.71367,4.247111,1025.0723,1015.1414
2024-04-11 00:00:00+00:00,16.281832,6.8818336,11.506833,0.1,0.1,0.0,1.0,19.522245,9.853333,2.0791624,69.69046,6.0373893,1030.9958,1021.03253
2024-04-12 00:00:00+00:00,18.281834,12.415166,15.119332,0.0,0.0,0.0,0.0,22.221361,11.593333,2.2611363,76.75917,10.989472,1029.686,1019.86035
2024-04-13 00:00:00+00:00,21.931833,12.481833,16.919333,0.0,0.0,0.0,0.0,24.417206,16.883333,3.3704977,71.954094,11.445027,1023.28754,1013.58405
2024-04-14 00:00:00+00:00,17.315166,9.731833,13.914472,0.06666667,0.06666667,0.0,0.6666667,23.849808,16.463333,3.3785546,58.633602,5.5498886,1018.3139,1008.5586
2024-04-15 00:00:00+00:00,13.781833,4.981833,9.783917,4.1666665,4.1666665,0.0,11.333333,29.153603,15.193334,2.489401,69.2346,3.9991944,1007.2486,997.4577
2024-04-16 00:00:00+00:00,10.081834,4.4651666,6.7346115,5.4,4.6666665,0.5133333,11.333333,25.72973,13.22,1.9476008,76.233246,2.7186387,1000.7431,990.9113
2024-04-17 00:00:00+00:00,10.065166,2.4151666,5.7880836,2.1333332,2.1000001,0.023333333,7.3333335,10.329595,14.78,1.8107678,84.42843,3.1478055,1008.65137,998.7068
2024-04-18 00:00:00+00:00,10.9985,1.4318334,6.3658614,1.6333333,1.6333333,0.0,5.0,17.075739,19.616667,2.5525699,75.72916,1.924889,1015.2903,1005.3016
2024-04-19 00:00:00+00:00,10.3485,4.4651666,6.536695,11.866668,11.8,0.046666667,18.666666,25.682611,8.543334,1.2106198,84.03639,3.9915555,1006.1472,996.2519
2024-04-20 00:00:00+00:00,8.431833,1.7651666,5.521417,2.9333334,2.8,0.093333334,10.666667,26.242865,12.38,1.5954466,78.757935,1.8651667,1015.0722,1005.055
2024-04-21 00:00:00+00:00,8.7985,0.33183333,4.4262776,0.4,0.4,0.0,3.3333333,19.129171,20.93,2.4827175,69.71002,-1.4417778,1022.6584,1012.5267
2024-04-22 00:00:00+00:00,7.481833,-0.4015,3.3193333,0.56666666,0.4,0.116666675,4.6666665,9.915966,19.333334,2.2424839,68.51566,-2.300111,1024.7778,1014.583
2024-04-23 00:00:00+00:00,8.0485,-1.1348335,3.9929447,0.06666667,0.06666667,0.0,0.6666667,10.560951,14.563333,1.9342595,71.068886,-1.2633055,1019.4681,1009.3499
2024-04-24 00:00:00+00:00,8.131833,3.2651665,4.881139,7.066666,6.3333335,0.5133333,20.0,14.454932,10.496667,1.3291436,80.70194,1.747111,1006.6833,996.72797
2024-04-25 00:00:00+00:00,8.698501,2.1818333,5.0089164,3.8,3.5666666,0.16333334,11.666667,16.99244,13.786667,1.5398351,84.52685,2.4915555,1004.69855,994.7661
2024-04-26 00:00:00+00:00,12.815166,3.4151669,7.7408614,0.70000005,0.70000005,0.0,2.6666667,23.6625,13.34,2.0587122,74.48824,3.1408608,1005.42084,995.5788
2024-04-27 00:00:00+00:00,18.531832,3.8985002,11.350583,0.2,0.2,0.0,1.6666666,16.362822,20.67,3.3083913,72.43109,5.956139,1009.24585,999.4869
2024-04-28 00:00:00+00:00,21.465166,10.115167,14.974195,0.0,0.0,0.0,0.0,21.110573,15.213333,3.4333918,60.37236,7.2019725,1010.9653,1001.3132
2024-04-29 00:00:00+00:00,19.165167,9.315166,14.460305,0.0,0.0,0.0,0.0,12.880223,17.816668,3.1557195,67.14762,8.087389,1021.2249,1011.45905
2024-04-30 00:00:00+00:00,23.5485,10.215167,16.766556,0.0,0.0,0.0,0.0,12.9824095,23.123331,3.9585903,73.67974,11.781834,1017.49725,1007.8421
