date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2024-01-01 00:00:00+00:00,6.756334,4.8896666,5.6216106,1.1,1.0666667,0.023333333,5.3333335,26.560257,2.9766667,0.64972526,82.72453,2.8896668,1008.5417,976.9146
2024-01-02 00:00:00+00:00,9.006333,5.5230002,7.443833,20.0,20.0,0.0,22.0,29.941046,0.57,0.4542943,88.80668,5.7028613,1000.15137,968.9921
2024-01-03 00:00:00+00:00,9.956333,7.1730003,8.354945,6.7666664,6.7666664,0.0,12.666667,29.207672,3.1166668,0.7456017,84.931335,5.946611,995.86255,964.9333
2024-01-04 00:00:00+00:00,7.5396667,3.3063335,6.2660556,3.2333333,3.2333333,0.0,8.666667,26.928595,2.4533331,0.5201959,87.07807,4.237583,1003.47363,972.0783
