date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2024-06-22 00:00:00+00:00,21.067167,12.767166,16.57411,2.6333334,2.6333334,0.0,10.666667,17.818441,20.626667,3.4575102,79.68811,12.887306,1014.34717,984.884
2024-06-23 00:00:00+00:00,22.9005,12.0338335,17.876194,0.26666668,0.26666668,0.0,2.6666667,10.01315,22.273333,4.0466638,76.745705,13.245639,1018.4694,989.00385
2024-06-24 00:00:00+00:00,24.667166,13.517166,19.787998,0.0,0.0,0.0,0.0,14.850696,24.343332,4.800816,65.788185,12.674806,1019.1097,989.80194
2024-06-25 00:00:00+00:00,26.750498,15.333833,21.418556,0.0,0.0,0.0,0.0,15.168708,28.896667,6.020203,58.66271,12.670639,1014.925,985.89606
2024-06-26 00:00:00+00:00,28.567167,16.867167,22.199806,3.2333333,3.2333333,0.0,1.3333334,14.651006,24.143333,4.8156695,70.35852,16.372026,1010.74023,981.9243
2024-06-27 00:00:00+00:00,28.250498,17.1005,22.820639,1.7666668,1.7666668,0.0,3.6666667,12.498638,25.683334,5.0006137,75.648056,17.863693,1009.75275,981.0192
2024-06-28 00:00:00+00:00,25.433832,17.683832,21.483833,6.3333335,6.3333335,0.0,3.6666667,18.732779,24.89,4.8829226,68.516914,14.997723,1014.7972,985.8029
2024-06-29 00:00:00+00:00,29.333832,13.5505,22.18661,0.033333335,0.033333335,0.0,0.33333334,16.573273,25.946665,5.2868595,67.71808,15.789388,1013.1584,984.2686
2024-06-30 00:00:00+00:00,21.317167,16.433832,18.933832,28.16667,28.16667,0.0,20.666666,21.273571,9.836667,1.8959748,86.7658,16.625498,1008.2083,979.14624
2024-07-01 00:00:00+00:00,18.683832,14.233833,16.229666,7.6999993,7.6999993,0.0,11.333333,17.832235,17.803333,3.1059554,78.47604,12.171333,1014.332,984.822
2024-07-02 00:00:00+00:00,17.300499,11.167167,14.342166,5.2333336,5.2333336,0.0,10.666667,19.313885,12.013333,2.1590922,81.09553,10.980361,1015.07355,985.3515
2024-07-03 00:00:00+00:00,16.833834,10.7005005,13.29425,6.6666665,6.6666665,0.0,13.666667,14.563642,15.209999,2.3372526,86.082436,10.863694,1011.5097,981.7932
2024-07-04 00:00:00+00:00,20.1505,10.6171665,15.431054,3.333333,3.333333,0.0,10.0,24.68849,20.063334,3.3841674,77.25605,11.159528,1009.51807,980.0577
2024-07-05 00:00:00+00:00,20.767166,11.333833,15.831749,0.0,0.0,0.0,0.0,20.458609,14.466667,2.8481758,72.60215,10.657444,1012.6861,983.1906
2024-07-06 00:00:00+00:00,24.317167,13.9505005,18.333834,2.1000001,2.1000001,0.0,5.6666665,25.765358,16.84,3.3476226,76.68902,14.034527,1006.7819,977.6927
2024-07-07 00:00:00+00:00,19.8505,10.0338335,15.49425,0.0,0.0,0.0,0.0,14.406398,22.456665,3.9648292,63.975567,8.160916,1014.57367,984.9873
2024-07-08 00:00:00+00:00,24.433832,10.6005,17.902582,0.033333335,0.033333335,0.0,0.33333334,9.988526,25.466667,4.6574616,65.873985,10.858833,1017.325,987.91235
2024-07-09 00:00:00+00:00,29.283834,15.183833,22.655363,0.0,0.0,0.0,0.0,11.003601,26.896667,5.493467,67.07026,15.819249,1015.8291,986.89386
2024-07-10 00:00:00+00:00,24.78383,18.517166,21.788,8.666667,8.666667,0.0,8.333333,15.664376,16.863333,3.3522966,76.856575,17.451889,1015.543,986.5591
2024-07-11 00:00:00+00:00,24.067167,16.367167,20.206055,5.5,5.5,0.0,7.3333335,13.605449,20.693335,3.6755865,83.56614,17.130362,1017.0708,987.88275
2024-07-12 00:00:00+00:00,25.050499,15.767166,19.93939,15.233334,15.233334,0.0,7.0,23.061552,18.306665,3.7452304,77.87812,15.698417,1010.9361,981.887
2024-07-13 00:00:00+00:00,19.917166,11.933833,16.332445,1.2000002,1.2000002,0.0,8.333333,15.012227,22.926666,3.847599,71.30015,10.915084,1013.54584,984.06934
2024-07-14 00:00:00+00:00,22.683832,11.083833,17.5755,0.4,0.4,0.0,2.3333333,13.982178,22.413336,4.0903053,69.74416,11.571334,1014.093,984.7336
2024-07-15 00:00:00+00:00,27.683832,13.4005,20.943556,3.3666668,3.3666668,0.0,2.0,11.389354,26.836668,5.124254,66.33947,13.992167,1012.39996,983.41547
