date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2023-08-12 00:00:00+00:00,26.565165,17.515165,20.734612,8.566667,8.566667,0.0,8.333333,15.297489,12.846667,2.656889,80.823395,17.211,1016.20557,1006.6928
2023-08-13 00:00:00+00:00,24.0485,15.4985,19.929054,0.1,0.1,0.0,1.0,13.271374,17.76,3.3974783,74.98771,14.897111,1017.2972,1007.7493
2023-08-14 00:00:00+00:00,27.781836,14.215167,20.826971,4.1,4.1,0.0,3.0,11.835412,15.766666,3.1865366,79.74896,16.899889,1015.55,1006.04736
2023-08-15 00:00:00+00:00,27.498499,19.281832,22.617249,6.6000004,6.6000004,0.0,10.0,13.765016,15.12,3.0759392,81.40505,19.079056,1015.4361,1005.99335
2023-08-16 00:00:00+00:00,24.481834,16.631834,20.391556,4.8333335,4.8333335,0.0,6.3333335,10.857722,16.463333,3.0308697,84.096115,17.379751,1020.29584,1010.73517
2023-08-17 00:00:00+00:00,20.631834,17.381834,18.874195,19.733335,19.733335,0.0,11.0,15.994332,8.073334,1.6320661,87.08804,16.638777,1019.3112,1009.7143
2023-08-18 00:00:00+00:00,27.781836,15.831833,21.808222,0.0,0.0,0.0,0.0,11.211331,19.123335,3.7106676,81.22339,18.145027,1017.6416,1008.1497
2023-08-19 00:00:00+00:00,31.348501,18.931833,24.442942,0.73333335,0.73333335,0.0,2.6666667,18.342226,19.383333,4.291891,75.04174,19.232529,1016.5389,1007.1429
2023-08-20 00:00:00+00:00,27.515167,18.281832,23.047112,0.13333334,0.13333334,0.0,1.0,11.801784,19.609999,3.8465674,75.348915,17.97975,1021.64166,1012.1538
