date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2023-11-02 00:00:00+00:00,13.3315,9.248166,11.050944,2.8333333,2.8333333,0.0,8.333333,29.163107,2.8100002,1.4231488,73.34074,6.405111,990.82227,972.23016
2023-11-03 00:00:00+00:00,10.4815,6.2815,8.271083,0.1,0.1,0.0,1.0,21.156334,5.0466666,1.0232805,78.654396,4.7092776,989.83887,971.0877
2023-11-04 00:00:00+00:00,10.764834,5.6148334,8.332194,4.766667,4.766667,0.0,8.333333,27.650772,3.756667,1.079209,78.5135,4.762056,988.1653,969.4505
2023-11-05 00:00:00+00:00,11.998166,8.898167,10.084278,5.6,5.6,0.0,15.666667,29.741089,3.1333332,1.0005468,82.30301,7.1926117,983.98883,965.4702
2023-11-06 00:00:00+00:00,12.1315,8.264833,9.841916,2.6333334,2.6333334,0.0,6.3333335,25.64696,5.306667,1.1681324,80.12226,6.5224724,1005.1889,986.2556
2023-11-07 00:00:00+00:00,9.781501,6.664833,8.117611,1.1666666,1.1666666,0.0,4.3333335,23.205755,3.6899998,0.66361016,85.742065,5.852333,1013.67505,994.46857
2023-11-08 00:00:00+00:00,10.514833,6.6315002,8.294,0.36666667,0.36666667,0.0,2.3333333,22.255096,4.71,1.005424,79.1758,4.832195,1016.6958,997.4375
2023-11-09 00:00:00+00:00,10.3315,6.564833,8.263444,1.3666668,1.3666668,0.0,7.0,23.550943,1.4633332,0.8478443,79.675545,4.917611,1007.7834,988.69507
2023-11-10 00:00:00+00:00,9.6815,6.6148334,8.057889,3.1333332,3.1333332,0.0,11.0,23.887217,5.05,0.9293247,82.133095,5.1078887,1002.29443,983.2969
2023-11-11 00:00:00+00:00,8.514833,4.0315,6.5634446,7.2333336,7.2333336,0.0,11.0,23.832998,5.58,0.86379963,81.79721,3.5683057,1005.4333,986.2767
