date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2024-03-01 00:00:00+00:00,10.414833,2.1481667,5.9641395,0.1,0.1,0.0,0.6666667,17.306234,6.34,0.936193,84.52769,3.430111,1007.1944,987.9733
2024-03-02 00:00:00+00:00,14.648167,3.3481667,8.525944,0.0,0.0,0.0,0.0,17.029755,11.636666,1.788216,73.83238,3.7724724,1004.2722,985.2723
2024-03-03 00:00:00+00:00,15.498166,4.6148334,9.103723,0.0,0.0,0.0,0.0,15.470996,12.156667,1.7156897,79.93137,5.5919166,1000.50555,981.61005
2024-03-04 00:00:00+00:00,10.164833,3.7814999,7.507889,0.2,0.2,0.0,2.0,12.58768,5.34,0.7912671,87.86624,5.5634446,1009.325,990.1518
2024-03-05 00:00:00+00:00,8.4815,3.7981665,7.019694,1.3333334,1.3333334,0.0,7.0,11.33863,3.0333335,0.51988167,90.25997,5.5148335,1014.9001,995.5972
2024-03-06 00:00:00+00:00,10.1815,1.9315,5.9606667,0.2,0.2,0.0,2.0,12.304286,8.376667,1.0950078,86.509605,3.7537224,1021.17773,1001.6823
2024-03-07 00:00:00+00:00,9.2815,0.1815,4.8655276,0.0,0.0,0.0,0.0,18.255281,10.0633335,1.4152895,74.73838,0.4683056,1022.457,1002.8498
2024-03-08 00:00:00+00:00,10.9815,0.83150005,5.3460827,0.0,0.0,0.0,0.0,19.192984,13.959999,1.9647273,67.85362,-0.34072223,1013.63885,994.23535
2024-03-09 00:00:00+00:00,13.664833,2.0981667,7.152333,0.0,0.0,0.0,0.0,14.998784,13.57,2.0637932,69.80603,1.8544167,1004.2153,985.1109
2024-03-10 00:00:00+00:00,14.564834,5.2981668,9.30025,1.3000001,1.3000001,0.0,2.3333333,18.820593,11.363334,1.9349202,72.14282,4.3578887,995.83746,977.0376
2024-03-11 00:00:00+00:00,12.281501,6.164833,8.587054,15.866666,15.866666,0.0,15.333333,22.019928,11.163333,1.5718778,80.396034,5.166917,1004.0764,985.0835
2024-03-12 00:00:00+00:00,10.414833,4.7148333,7.4099717,3.0,3.0,0.0,8.666667,15.415184,8.933333,1.2476205,82.330734,4.4988613,1015.60834,996.31494
2024-03-13 00:00:00+00:00,11.264834,6.2481666,8.554417,5.3333325,5.3333325,0.0,10.666667,12.702507,3.0233333,0.5343243,92.38088,7.3856673,1017.48895,998.2368
2024-03-14 00:00:00+00:00,15.998166,6.9315,11.043304,0.0,0.0,0.0,0.0,12.323737,11.943333,1.7517701,83.87094,8.214833,1015.4167,996.376
2024-03-15 00:00:00+00:00,14.864834,9.048167,11.61275,0.43333337,0.43333337,0.0,3.0,22.923399,8.243333,1.4563907,81.74705,8.537056,1012.68335,993.73224
2024-03-16 00:00:00+00:00,13.031501,5.7315,10.016917,2.7333333,2.7333333,0.0,9.333333,20.601221,7.226667,1.2412341,82.01678,6.9335837,1018.51666,999.3453
2024-03-17 00:00:00+00:00,13.064834,3.114833,8.037055,0.0,0.0,0.0,0.0,8.397016,11.666667,1.6695833,73.61636,3.3481667,1023.27783,1003.88666
2024-03-18 00:00:00+00:00,13.248166,5.2481666,9.216222,1.0,1.0,0.0,4.3333335,9.246424,8.466666,1.2507914,83.7178,6.557194,1017.5639,998.3444
2024-03-19 00:00:00+00:00,14.664833,5.6981664,9.349555,0.29999998,0.29999998,0.0,1.3333334,7.75929,9.416667,1.373324,89.317635,7.5224724,1019.7014,1000.4611
2024-03-20 00:00:00+00:00,17.9815,3.8148334,10.402333,0.0,0.0,0.0,0.0,8.09238,14.5,2.198367,81.424385,6.945389,1019.8847,1000.71783
2024-03-21 00:00:00+00:00,15.164833,6.664833,10.521083,0.16666667,0.16666667,0.0,1.6666666,19.945257,14.7300005,2.1187022,78.77649,6.787056,1022.10834,1002.91425
2024-03-22 00:00:00+00:00,16.8815,6.2481666,11.062751,0.16666667,0.16666667,0.0,0.33333334,15.982917,11.599999,1.8669156,78.39413,7.25025,1019.3333,1000.21893
2024-03-23 00:00:00+00:00,10.764834,3.6315002,7.566917,6.6333337,5.5333343,0.77,14.333333,25.351456,12.313333,1.5490745,80.88209,4.3544164,1010.56525,991.3901
