date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2024-03-31 00:00:00+00:00,16.856333,6.5396667,11.070221,4.0,4.0,0.0,7.0,17.114882,14.97,2.254175,81.611725,7.779944,998.6445,967.92773
2024-04-01 00:00:00+00:00,9.673,7.1063333,8.556334,11.266667,11.266667,0.0,15.666667,20.381659,4.563333,0.7371039,88.47483,6.738972,998.21533,967.24023
2024-04-02 00:00:00+00:00,12.206333,5.7730002,8.839666,0.6,0.6,0.0,3.6666667,27.471827,13.943334,2.173531,73.028656,3.9945278,1009.0695,977.78217
2024-04-03 00:00:00+00:00,10.856334,7.056333,9.120917,5.1666665,5.1666665,0.0,13.333333,21.672567,6.1200004,0.9531738,85.30591,6.7611947,1009.0916,977.8384
2024-04-04 00:00:00+00:00,13.339667,7.456333,10.507722,4.633333,4.633333,0.0,9.333333,26.65772,6.346667,1.0881436,86.37792,8.261889,1011.04584,979.8828
2024-04-05 00:00:00+00:00,19.006332,9.089667,13.747306,0.36666667,0.36666667,0.0,2.6666667,23.6471,12.139999,2.2817266,78.97251,9.895917,1013.8194,982.9146
2024-04-06 00:00:00+00:00,22.606333,10.906334,16.47439,0.90000004,0.90000004,0.0,2.3333333,18.518356,20.043333,3.6726959,68.00403,10.152862,1014.86255,984.2192
2024-04-07 00:00:00+00:00,21.572998,12.989667,17.373693,0.56666666,0.56666666,0.0,0.6666667,18.086329,17.313334,3.6192462,62.019257,9.855639,1015.2361,984.6958
2024-04-08 00:00:00+00:00,23.389666,11.239667,17.509111,0.1,0.1,0.0,0.6666667,17.715347,19.726667,3.650552,67.82529,11.144527,1009.6778,979.3064
2024-04-09 00:00:00+00:00,17.739668,8.156333,12.297999,1.8333334,1.8333334,0.0,8.0,25.041895,7.0633335,1.7289814,67.32839,6.3202224,1012.2708,981.27313
