date,temp_dc_max,temp_dc_min,temp_dc_mean,precipitation_sum_mm,rain_sum_mm,snowfall_sum_cm,precipitation_hours,wind_speed_kmh_max,shortwave_radiation_mj_sum,et0_fao_evapotranspiration_mm,relative_humidity_%,dew_point_dc,pressure_sea_hpa,surface_pressure_hpa
2023-12-10 00:00:00+00:00,8.833834,6.0004997,7.1727223,3.2,3.2,0.0,8.666667,28.84813,2.7300003,0.7249408,84.11489,4.61925,1007.18195,976.9485
2023-12-11 00:00:00+00:00,10.1505,6.7338333,8.096334,3.9999998,3.9999998,0.0,13.333333,28.22175,3.14,0.6073796,87.16143,6.036611,1005.0334,974.96906
2023-12-12 00:00:00+00:00,8.7838335,4.583833,6.772722,6.066667,6.066667,0.0,7.0,15.730141,1.5133333,0.23774265,94.64771,5.9643884,1007.3459,977.0882
2023-12-13 00:00:00+00:00,8.217167,2.7838333,6.317167,6.666666,6.666666,0.0,11.333333,16.197332,2.2466667,0.2719895,94.791176,5.5310555,1000.65967,970.5439
2023-12-14 00:00:00+00:00,6.0505004,1.6671667,3.7525833,0.6333334,0.6333334,0.0,5.3333335,12.431358,1.11,0.18220843,96.58356,3.2449446,1015.3139,984.48486
2023-12-15 00:00:00+00:00,4.817167,0.38383332,2.4838333,0.26666668,0.26666668,0.0,2.3333333,12.208949,1.2766666,0.17617579,96.39691,1.9602222,1034.3765,1002.84076
2023-12-16 00:00:00+00:00,6.0171666,0.26716664,2.7588332,0.0,0.0,0.0,0.0,11.988922,4.25,0.37394357,92.50912,1.6289722,1041.5416,1009.8425
2023-12-17 00:00:00+00:00,5.9505,0.28383332,3.4477222,0.0,0.0,0.0,0.0,10.057097,1.7999998,0.22498767,94.66013,2.664389,1039.9208,1008.3311
2023-12-18 00:00:00+00:00,5.4005,0.91716665,3.1248055,0.0,0.0,0.0,0.0,13.056644,4.3433332,0.36835542,92.3042,1.9671668,1034.7445,1003.30365
2023-12-19 00:00:00+00:00,3.8171666,0.06716663,1.7359167,3.5999997,3.5999997,0.0,6.3333335,22.278097,0.9166667,0.21648014,92.648926,0.65675,1025.3528,993.9992
2023-12-20 00:00:00+00:00,5.367167,3.2671669,4.3532777,8.5,8.466667,0.023333333,14.333333,24.755508,1.8533334,0.35935417,90.808495,2.94425,1016.60834,985.7889
2023-12-21 00:00:00+00:00,8.917167,5.0505004,6.9331384,12.933333,12.933333,0.0,23.0,35.562813,0.37666667,0.40265974,90.77652,5.5081387,1002.80695,972.6809
2023-12-22 00:00:00+00:00,7.0505004,3.0338335,5.4602222,9.933334,9.600001,0.23333333,21.333334,33.095577,1.3933333,0.43436766,89.24451,3.813,1002.4875,972.21185
2023-12-23 00:00:00+00:00,7.867167,5.4838333,6.592861,9.100001,9.100001,0.0,22.0,32.55457,0.52,0.34573802,90.8249,5.186611,1009.09863,978.7553
2023-12-24 00:00:00+00:00,8.467167,7.033833,7.8359165,7.7333336,7.7333336,0.0,16.0,31.044807,0.4333333,0.35728288,91.42273,6.504667,1010.2111,979.96246
2023-12-25 00:00:00+00:00,8.8505,8.100501,8.353972,8.700001,8.700001,0.0,21.666666,31.704275,0.45000002,0.32272443,92.27717,7.1581388,1011.3264,981.0988
2023-12-26 00:00:00+00:00,9.517167,3.8171666,7.780361,1.0333334,1.0333334,0.0,6.3333335,29.056265,2.6666667,0.53920525,89.002556,6.0463333,1015.43195,985.02026
2023-12-27 00:00:00+00:00,8.417167,1.9505,4.872722,0.13333334,0.13333334,0.0,1.3333334,11.80012,1.8633333,0.3075731,91.33676,3.5255,1020.6584,989.8028
2023-12-28 00:00:00+00:00,9.333834,4.9005,7.357445,3.2,3.2,0.0,4.6666665,24.991022,2.7,0.8775175,78.15848,3.703972,1017.0959,986.6152
2023-12-29 00:00:00+00:00,9.500501,7.033833,8.335223,1.2333333,1.2333333,0.0,5.3333335,30.062193,1.5300001,0.8412528,81.88996,5.393555,1014.0347,983.72687
2023-12-30 00:00:00+00:00,8.8505,4.9338336,6.9741116,2.4,2.4,0.0,9.0,27.420633,3.4133332,0.47192022,89.31515,5.313,1015.32635,984.8416
2023-12-31 00:00:00+00:00,8.4005,4.0171666,6.0470276,1.7666668,1.7000002,0.046666667,4.0,23.14652,1.5433334,0.56556755,82.934044,3.3046665,1007.2972,976.93695
